Feature	Intercept_mean	phosphorus_eaten_mean	Intercept_std	phosphorus_eaten_std	Intercept_hdi	phosphorus_eaten_hdi
1fa555f9a74d47a6ca7a65a347bc885f	-6.205373445000007	0.2871115337719998	0.17976905129243467	0.18725189927439806	(-6.52064, -5.83766)	(-0.0533757, 0.639918)
149e7d5e484d157f2ac6140a2111618e	-3.987664240000005	-0.24401205424349975	0.16602889909176177	0.17213775425176883	(-4.30406, -3.67592)	(-0.550499, 0.109454)
605c54065160b61d47c4d5f87ffbe6bb	-8.884177955000009	-0.06422706620815005	0.29654016753041723	0.307312169374515	(-9.4545, -8.3521)	(-0.614723, 0.522162)
5034598009be77942a505e7c9978b06b	-8.108561369999999	0.027153861163500003	0.21199435348948123	0.21987980859613834	(-8.54613, -7.75572)	(-0.370945, 0.446309)
8526f1f5fd2dcff7e7a73db743c829d2	-6.596416354999992	0.1663525392076501	0.21112775594190342	0.21655811022951085	(-6.98493, -6.1838)	(-0.252662, 0.577179)
24ef07664cfa04a819d7797a89e653b6	-9.167269034999991	-0.3883644051905005	0.310607491320185	0.32159395860271783	(-9.71476, -8.57134)	(-1.0461, 0.152509)
03fdbec0c9b63a05ae79f92c6d3a4cfc	-6.951313589999992	-0.17252078053649986	0.3785734829830427	0.3914659031415518	(-7.63242, -6.2096)	(-0.913281, 0.554478)
aa3e2d76e864d7909b51110e211ef36c	-9.385958674999985	0.6207325387250016	0.40384074224425925	0.4207675426855926	(-10.1489, -8.66545)	(-0.108302, 1.47826)
7efeb75fc542932a033b37b887994dc8	-6.536641465000002	-1.9290950169999996	0.48996046114539016	0.5204905731016864	(-7.49116, -5.62322)	(-2.93209, -0.978001)
2371e52106292ac4c33aec6f57cace35	-8.057058939999996	0.4025564351504988	0.2276592734842495	0.2370760099842994	(-8.43626, -7.58592)	(-0.0658555, 0.819893)
913d55d109820d0f3fad120be103c64f	-9.143557584999995	0.8008642236700009	0.3216149772263691	0.3358842298359985	(-9.73807, -8.54405)	(0.136589, 1.39324)
c82032c40c98975f71892e4be561c87a	-6.659107899999995	-0.4138791783049996	0.15578940085188728	0.16043497384237168	(-6.94037, -6.36425)	(-0.700862, -0.112707)
ac9166cff57e7ff3581eaf798edc726c	-6.95346390500001	-0.24660916693100007	0.39192222804633214	0.4066391070003442	(-7.72728, -6.28301)	(-0.971028, 0.537156)
949af2c28ba6c0345ae58b9aed00a2c0	-7.004869885	-0.5375560255750009	0.5360752919392361	0.5609413520613109	(-7.95202, -5.94282)	(-1.59232, 0.47175)
8a261f382a739bbc5f9494b2c64c2744	-5.209404335000006	-0.03452711397949997	0.14558354059081605	0.15095407955973333	(-5.4728, -4.92519)	(-0.346709, 0.229747)
e91f1c5b67ffecb5ca3ca3b393a50f00	-5.072801055000005	0.47028346325649956	0.27378541510101845	0.2849254623912457	(-5.57987, -4.55973)	(-0.0532809, 1.02057)
99b02f389bd0b7abad0d4d8affb09e22	-9.044076714999992	-0.7671305910399996	0.34124609029358705	0.3585523605355511	(-9.71378, -8.42984)	(-1.4593, -0.127226)
d3d99580d90cca486a23372a474e9571	-9.271327015000006	0.3516602031480006	0.24146046674194888	0.2470057556284977	(-9.74785, -8.84563)	(-0.108235, 0.799763)
7076b69bea6fb40b94f8b32fd85fdb46	-9.887797025000019	0.07194059725900004	0.3068843112553974	0.31695224465632066	(-10.4715, -9.31818)	(-0.51926, 0.679805)
e82ab12c51a893c6d7938a16632199a8	-7.987044360000007	0.46628603231349974	0.4097141021299978	0.424459405764427	(-8.68752, -7.17684)	(-0.311588, 1.24921)
2ae945b550c248752a5b463c9aca1a6a	-9.540628624999998	0.07479220451405012	0.34310613518612487	0.3596015780887779	(-10.2298, -8.9458)	(-0.580442, 0.765071)
b423592b0ae631882095792b27729b9c	-9.743726360000009	1.0230584512499994	0.3997275016406182	0.4124465893290075	(-10.4667, -8.99914)	(0.311156, 1.8247)
